phase,epoch,train_loss,train_acc,test_loss,test_acc
dense_training,1,1.7214,34.75,1.5217,42.77
dense_training,2,1.2784,53.12,1.2789,55.25
dense_training,3,1.0016,64.01,1.0738,64.21
dense_training,4,0.8339,70.82,1.3229,58.81
dense_training,5,0.7453,74.07,0.8786,69.69
dense_training,6,0.6920,76.16,0.9793,67.55
dense_training,7,0.6541,77.46,1.1844,65.89
dense_training,8,0.6265,78.39,0.7403,74.45
dense_training,9,0.6083,79.15,0.8284,72.88
dense_training,10,0.5835,79.99,1.9336,52.79
dense_training,11,0.5705,80.44,0.6697,77.08
dense_training,12,0.5682,80.44,0.9298,71.90
dense_training,13,0.5486,81.10,1.0726,70.61
dense_training,14,0.5447,81.13,0.6992,76.05
dense_training,15,0.5301,81.91,0.8826,71.21
dense_training,16,0.5278,82.05,0.7668,73.50
dense_training,17,0.5175,82.17,0.7134,75.56
dense_training,18,0.5157,82.06,0.7664,76.03
dense_training,19,0.5076,82.55,0.7075,77.69
dense_training,20,0.5062,82.75,0.7497,76.54
dense_training,21,0.4982,83.03,0.6362,78.71
dense_training,22,0.4913,83.18,0.9652,70.72
dense_training,23,0.4954,82.76,0.6595,78.17
dense_training,24,0.4848,83.42,0.5633,80.89
dense_training,25,0.4853,83.44,0.6752,77.70
dense_training,26,0.4784,83.58,0.6829,77.60
dense_training,27,0.4818,83.47,0.7531,75.22
dense_training,28,0.4806,83.51,0.6398,78.50
dense_training,29,0.4714,83.82,0.6114,79.25
dense_training,30,0.4736,83.84,0.7249,76.48
dense_training,31,0.4638,84.12,0.6739,78.56
dense_training,32,0.4707,83.80,0.7522,76.42
dense_training,33,0.4615,84.23,0.7891,75.86
dense_training,34,0.4671,83.95,0.8932,73.65
dense_training,35,0.4626,84.06,0.5953,80.13
dense_training,36,0.4599,84.04,0.6342,79.24
dense_training,37,0.4630,84.12,0.5744,80.69
dense_training,38,0.4577,84.43,0.5822,80.11
dense_training,39,0.4598,84.12,0.6142,80.17
dense_training,40,0.4506,84.54,0.6846,78.41
dense_training,41,0.4588,84.36,0.7955,75.68
dense_training,42,0.4537,84.47,0.6623,77.24
dense_training,43,0.4493,84.52,0.6618,78.64
dense_training,44,0.4548,84.39,0.7002,76.90
dense_training,45,0.4432,84.85,1.2868,64.68
dense_training,46,0.4425,84.97,0.5978,79.62
dense_training,47,0.4510,84.49,0.6175,78.96
dense_training,48,0.4419,84.92,0.6798,77.96
dense_training,49,0.4416,84.87,0.5879,80.52
dense_training,50,0.4380,84.98,0.6568,78.30
dense_training,51,0.4398,84.86,0.6052,80.16
dense_training,52,0.4396,84.98,0.7833,75.64
dense_training,53,0.4336,85.10,0.6898,78.45
dense_training,54,0.4407,84.96,0.6340,79.37
dense_training,55,0.4357,85.09,0.6132,79.90
dense_training,56,0.4294,85.11,0.5456,81.55
dense_training,57,0.4342,84.98,0.6012,80.18
dense_training,58,0.4327,85.26,0.6356,79.61
dense_training,59,0.4355,85.16,0.9196,71.48
dense_training,60,0.4313,85.35,0.6356,78.17
dense_training,61,0.4312,85.27,0.6601,78.75
dense_training,62,0.4333,85.11,1.0256,71.01
dense_training,63,0.4324,85.25,0.6432,78.56
dense_training,64,0.4275,85.32,0.6910,78.16
dense_training,65,0.4278,85.22,1.6061,57.13
dense_training,66,0.4306,85.27,0.6615,78.42
dense_training,67,0.4326,85.07,0.5003,82.86
