phase,epoch,train_loss,train_acc,test_loss,test_acc
dense_training,1,4.0740,6.66,3.8336,9.39
dense_training,2,3.6536,12.63,3.5940,14.57
dense_training,3,3.3335,18.50,3.2293,21.00
dense_training,4,3.0134,24.14,3.0249,25.08
dense_training,5,2.6996,30.06,2.9241,26.47
dense_training,6,2.4541,35.19,2.6241,33.60
dense_training,7,2.2884,38.59,2.6045,33.77
dense_training,8,2.1569,41.58,2.5310,35.07
dense_training,9,2.0544,43.81,2.6566,34.49
dense_training,10,1.9928,45.09,2.2881,39.83
dense_training,11,1.9377,46.79,2.4773,37.74
dense_training,12,1.8945,47.59,2.2912,41.36
dense_training,13,1.8548,48.45,2.1852,42.48
dense_training,14,1.8132,49.55,2.0427,45.68
dense_training,15,1.7939,50.35,2.3531,39.67
dense_training,16,1.7765,50.50,2.5832,39.42
dense_training,17,1.7507,51.17,2.4081,40.59
dense_training,18,1.7403,51.65,2.6923,37.33
dense_training,19,1.7179,51.91,2.0673,45.00
dense_training,20,1.7113,52.28,2.0716,45.07
dense_training,21,1.6995,52.46,2.6514,37.78
dense_training,22,1.6785,53.14,2.2087,43.17
dense_training,23,1.6636,53.56,2.1770,42.75
dense_training,24,1.6547,53.59,2.3736,42.00
dense_training,25,1.6490,54.04,2.1016,45.81
dense_training,26,1.6504,53.59,2.1073,46.42
dense_training,27,1.6343,54.04,2.0225,45.87
dense_training,28,1.6350,54.12,2.0780,45.07
dense_training,29,1.6210,54.67,2.1554,45.43
dense_training,30,1.6220,54.62,2.0383,46.39
dense_training,31,1.6138,54.97,1.9564,48.28
dense_training,32,1.6117,54.60,2.2388,42.31
dense_training,33,1.5986,55.02,1.9889,47.13
dense_training,34,1.6037,54.90,2.2051,45.73
dense_training,35,1.5908,55.28,2.0051,47.08
dense_training,36,1.5960,55.06,2.0752,45.99
dense_training,37,1.5864,55.24,2.0867,46.21
dense_training,38,1.5795,55.40,2.1341,43.84
dense_training,39,1.5765,55.73,2.0777,45.38
dense_training,40,1.5733,55.99,2.1043,45.68
dense_training,41,1.5695,55.78,1.9819,47.40
dense_training,42,1.5617,56.18,2.1326,44.43
dense_training,43,1.5685,55.77,1.9361,48.06
dense_training,44,1.5621,55.87,1.7748,53.14
dense_training,45,1.5641,55.82,2.2783,42.99
dense_training,46,1.5564,56.27,1.9904,47.43
dense_training,47,1.5575,56.04,1.8581,50.52
dense_training,48,1.5434,56.82,1.9149,48.84
dense_training,49,1.5492,56.29,2.1187,46.72
dense_training,50,1.5426,56.28,1.9825,48.16
dense_training,51,1.5522,56.15,2.0481,46.26
dense_training,52,1.5374,56.65,2.3204,44.05
dense_training,53,1.5402,56.49,1.9255,49.72
dense_training,54,1.5313,56.65,2.0851,45.77
dense_training,55,1.5327,56.79,1.8298,51.13
dense_training,56,1.5369,56.58,2.1544,45.47
dense_training,57,1.5430,56.48,1.9416,48.44
dense_training,58,1.5340,56.70,1.9281,49.81
dense_training,59,1.5374,56.69,1.8576,49.87
dense_training,60,1.5252,57.00,1.9476,48.79
dense_training,61,1.5327,57.01,1.9108,48.68
dense_training,62,1.5248,56.91,1.7375,52.78
dense_training,63,1.5186,57.07,2.0259,47.59
dense_training,64,1.5166,57.20,1.8105,51.52
dense_training,65,1.5210,57.01,2.2855,43.97
dense_training,66,1.5297,57.10,2.1305,47.65
dense_training,67,1.5261,57.02,2.0648,46.37
dense_training,68,1.5184,56.85,2.0227,47.93
dense_training,69,1.5234,57.01,1.8979,50.04
dense_training,70,1.5140,57.16,2.0761,47.10
dense_training,71,1.5080,57.50,2.0395,47.12
dense_training,72,1.5213,56.80,2.0893,45.96
dense_training,73,1.5076,57.43,2.1008,46.42
dense_training,74,1.5127,57.20,2.0468,47.73
dense_training,75,1.5066,57.32,1.9395,48.17
dense_training,76,1.5035,57.55,2.0635,46.46
dense_training,77,1.5152,57.10,2.0783,46.92
dense_training,78,1.5140,57.34,1.9663,48.11
dense_training,79,1.5062,57.39,2.1920,45.21
dense_training,80,1.5021,57.60,1.9775,48.37
dense_training,81,1.1297,67.67,1.2285,64.84
dense_training,82,1.0144,70.90,1.2143,65.45
dense_training,83,0.9729,72.00,1.2019,65.59
dense_training,84,0.9487,72.49,1.1813,66.23
dense_training,85,0.9215,73.24,1.1978,65.87
dense_training,86,0.9027,73.46,1.1899,65.96
dense_training,87,0.8881,73.94,1.2103,65.76
dense_training,88,0.8703,74.50,1.1911,66.10
dense_training,89,0.8661,74.37,1.2203,65.23
dense_training,90,0.8530,74.93,1.2075,65.92
dense_training,91,0.8408,75.24,1.2455,64.94
dense_training,92,0.8338,75.39,1.2132,65.79
dense_training,93,0.8261,75.50,1.2326,65.56
dense_training,94,0.8202,75.69,1.2519,65.32
dense_training,95,0.8126,76.02,1.2387,64.73
dense_training,96,0.8084,76.02,1.2688,64.90
dense_training,97,0.8040,75.98,1.2648,64.81
dense_training,98,0.8023,76.22,1.2571,64.81
dense_training,99,0.7946,76.38,1.2841,64.46
dense_training,100,0.7887,76.35,1.2980,64.43
dense_training,101,0.7905,76.46,1.2820,64.40
