phase,epoch,train_loss,train_acc,test_loss,test_acc
search,1,4.0720,6.76,3.7898,9.94
search,2,3.5727,14.00,3.5948,14.22
search,3,3.2002,20.65,3.0337,22.57
search,4,2.8484,27.37,3.1485,22.97
search,5,2.5785,32.57,2.7065,31.94
search,6,2.3710,36.86,2.6806,31.76
search,7,2.2034,40.50,2.4396,37.15
search,8,2.0723,43.65,2.4299,38.18
search,9,1.9630,45.84,2.2244,41.74
search,10,1.8770,47.79,2.2118,42.26
finetune,1,4.3803,3.36,4.1412,5.30
finetune,2,3.8913,9.38,4.0148,9.34
finetune,3,3.6570,13.07,3.6368,13.38
finetune,4,3.5201,15.26,3.7417,12.98
finetune,5,3.4095,17.37,3.5242,16.08
finetune,6,3.3464,18.62,3.6105,15.45
finetune,7,3.2722,19.86,3.5793,16.71
finetune,8,3.2146,21.04,3.6871,14.96
finetune,9,3.1734,21.67,3.6445,15.66
finetune,10,3.1291,22.59,3.3073,20.73
finetune,11,3.1022,23.34,3.3817,19.41
finetune,12,3.0726,23.71,3.1531,23.58
finetune,13,3.0463,24.46,3.3372,22.06
finetune,14,3.0232,24.57,3.1147,23.02
finetune,15,3.0040,25.49,3.5924,17.94
finetune,16,2.9857,25.43,3.4409,18.98
finetune,17,2.9704,26.06,3.6187,16.49
finetune,18,2.9406,26.55,3.0902,24.35
finetune,19,2.9296,27.04,3.7263,17.24
finetune,20,2.9231,27.16,3.5275,19.84
finetune,21,2.9034,27.37,3.2039,22.91
finetune,22,2.8991,27.45,3.0792,24.28
finetune,23,2.8812,27.66,3.0111,25.61
finetune,24,2.8593,28.27,3.0953,25.44
finetune,25,2.8517,28.37,3.4018,21.37
finetune,26,2.8508,28.36,3.2205,23.69
finetune,27,2.8359,28.99,3.2061,22.72
finetune,28,2.8367,28.76,3.0580,25.22
finetune,29,2.8184,28.94,2.9234,28.24
finetune,30,2.8040,29.47,3.2828,21.40
finetune,31,2.7995,29.50,3.0206,27.02
finetune,32,2.7948,29.59,3.1297,25.78
finetune,33,2.7941,29.61,2.9329,26.83
finetune,34,2.7801,29.93,2.9257,27.23
finetune,35,2.7752,29.83,3.1169,24.37
finetune,36,2.7704,30.03,2.9636,26.62
finetune,37,2.7567,30.44,2.9099,28.14
finetune,38,2.7518,30.61,2.9950,26.84
finetune,39,2.7535,30.60,2.7624,30.47
finetune,40,2.7481,30.65,2.9450,27.57
finetune,41,2.7375,30.87,3.1308,24.92
finetune,42,2.7410,30.99,4.4277,14.30
finetune,43,2.7310,30.76,2.7889,30.64
finetune,44,2.7306,30.82,3.6564,19.58
finetune,45,2.7157,31.38,3.0505,26.84
finetune,46,2.7176,31.06,2.7654,30.65
finetune,47,2.7064,31.41,2.9238,28.64
finetune,48,2.7028,31.54,3.1489,25.05
finetune,49,2.6967,31.70,2.8774,29.01
finetune,50,2.7011,31.56,3.4471,23.64
finetune,51,2.6925,31.75,3.2872,25.26
finetune,52,2.6891,31.88,2.9737,27.70
finetune,53,2.6804,32.17,2.9626,28.12
finetune,54,2.6772,32.04,2.9003,29.53
finetune,55,2.6717,32.15,3.0757,26.00
finetune,56,2.6757,32.16,2.9552,29.13
finetune,57,2.6786,32.11,3.0769,26.40
finetune,58,2.6693,32.18,2.8550,29.51
finetune,59,2.6643,32.28,3.2686,25.68
finetune,60,2.6653,32.59,2.8732,29.20
finetune,61,2.6600,32.13,3.1603,25.40
finetune,62,2.6604,32.47,2.9493,27.78
finetune,63,2.6545,32.44,3.1291,26.10
finetune,64,2.6533,32.52,3.0199,29.08
finetune,65,2.6534,32.67,3.0006,27.74
finetune,66,2.6471,32.50,2.9730,28.13
finetune,67,2.6462,32.60,3.9106,20.62
finetune,68,2.6380,32.83,3.2876,23.86
finetune,69,2.6364,32.69,3.0736,25.75
finetune,70,2.6335,33.00,3.1709,26.01
finetune,71,2.6403,33.02,2.7330,31.73
finetune,72,2.6273,33.03,2.8985,29.20
finetune,73,2.6238,33.14,2.9841,26.82
finetune,74,2.6201,33.02,2.8618,29.99
finetune,75,2.6223,33.22,2.8269,29.53
finetune,76,2.6186,33.25,2.9899,27.04
finetune,77,2.6244,33.21,2.9238,29.32
