epoch,train_loss,train_acc,test_loss,test_acc,mask_distance,lr
0,1.7603,33.91,1.5159,42.96,-1.0000,0.100000
1,1.3257,51.42,1.1472,59.43,0.1582,0.100000
2,1.0261,63.15,1.2816,57.89,0.1403,0.100000
3,0.8636,69.60,0.8888,69.72,0.1199,0.100000
4,0.7471,74.18,0.7336,74.30,0.1250,0.100000
5,0.6783,76.60,0.7353,75.51,0.0918,0.100000
6,0.6263,78.32,0.7926,72.75,0.0995,0.100000
7,0.5802,80.09,0.7024,75.58,0.0995,0.100000
8,0.5491,81.04,0.6774,78.18,0.1071,0.100000
9,0.5200,82.18,0.6000,80.01,0.1046,0.100000
10,0.4971,82.79,0.6531,79.00,0.0918,0.100000
11,0.4822,83.58,0.6269,79.78,0.1046,0.100000
12,0.4667,84.02,0.6522,79.29,0.0918,0.100000
13,0.4473,84.71,0.6636,78.90,0.0816,0.100000
14,0.4337,85.00,0.6392,79.43,0.0791,0.100000
15,0.4217,85.36,0.6506,79.64,0.0969,0.100000
16,0.4144,85.65,0.5458,81.27,0.0791,0.100000
