epoch,train_loss,train_acc,test_loss,test_acc
85,1.6298,43.09,3.2014,11.31
86,1.1756,58.14,3.3624,24.49
87,1.0235,63.83,2.4415,35.14
88,0.9337,67.11,1.8583,44.25
89,0.8675,69.66,1.6108,50.70
90,0.8182,71.69,1.4234,55.02
91,0.7848,72.61,1.1321,63.26
92,0.7525,73.92,1.3161,59.56
93,0.7320,74.68,1.0696,64.96
94,0.7065,75.40,0.9044,69.00
95,0.6848,76.42,1.0253,65.27
96,0.6628,77.14,0.9392,68.91
97,0.6565,77.26,0.8273,72.03
98,0.6411,77.88,1.4134,59.30
99,0.6266,78.39,1.0406,67.43
100,0.6186,78.76,0.8787,70.77
101,0.6082,78.97,0.8327,71.97
102,0.5991,79.19,1.3297,62.48
103,0.5875,79.70,1.1527,65.58
104,0.5806,80.06,0.7943,73.53
105,0.5749,80.06,0.7661,74.25
106,0.5720,80.22,0.7261,75.35
107,0.5612,80.63,0.9355,70.15
108,0.5590,80.71,1.6332,58.52
109,0.5493,81.15,0.8173,72.84
110,0.5444,81.14,0.7957,73.76
111,0.5383,81.41,0.8711,72.70
112,0.5319,81.81,1.0198,69.46
113,0.5263,81.73,0.7480,75.40
114,0.5253,81.98,0.7828,74.55
115,0.5177,82.22,0.6836,77.32
116,0.5214,81.88,1.1955,65.45
117,0.5127,82.22,1.1551,67.41
118,0.5106,82.51,0.8138,74.39
119,0.5044,82.57,0.9803,70.20
120,0.5038,82.47,0.9446,69.69
121,0.4691,83.93,0.6697,78.01
122,0.4599,84.16,1.0655,69.53
123,0.4529,84.43,0.7873,74.75
124,0.4517,84.57,0.6528,78.63
125,0.4515,84.37,0.6162,79.48
126,0.4497,84.61,0.8079,74.26
127,0.4498,84.52,0.6305,79.14
128,0.4484,84.68,0.6995,77.11
129,0.4513,84.46,0.6041,80.09
130,0.4487,84.65,0.6124,79.69
131,0.4468,84.81,0.7470,75.89
132,0.4481,84.52,0.8101,74.18
133,0.4454,84.57,0.5981,79.89
134,0.4488,84.49,0.8135,73.98
135,0.4435,84.72,0.5986,80.10
136,0.4408,84.86,0.5923,80.37
137,0.4412,84.85,0.6447,78.99
138,0.4386,84.82,0.5929,80.43
139,0.4413,84.87,0.5983,80.29
140,0.4372,84.82,0.6138,79.90
141,0.4400,84.92,0.6768,77.70
142,0.4417,84.61,0.6386,78.89
143,0.4384,84.96,0.7689,75.56
144,0.4380,84.97,0.6015,79.86
145,0.4353,85.13,0.8692,73.57
146,0.4401,84.76,0.7878,75.34
147,0.4321,85.17,0.6889,77.38
148,0.4340,85.07,0.6039,80.33
149,0.4360,85.15,0.6074,79.64
150,0.4313,85.09,0.6508,78.67
151,0.4322,84.96,0.6817,77.78
152,0.4371,84.95,0.7506,76.33
153,0.4315,85.03,0.7987,75.02
154,0.4354,84.87,0.8477,74.02
155,0.4290,85.20,0.6922,77.49
156,0.4302,85.20,0.6262,79.11
157,0.4290,85.16,0.7822,75.35
158,0.4273,85.27,0.6104,79.64
159,0.4288,85.20,0.5998,80.05
160,0.4279,85.32,0.6000,80.38
