phase,epoch,train_loss,train_acc,test_loss,test_acc
search,1,2.4010,16.70,2.0629,20.51
search,2,1.8849,27.63,1.7347,33.54
search,3,1.6413,38.21,1.5367,43.82
search,4,1.4521,46.53,1.3409,50.70
search,5,1.2988,52.77,1.3781,49.93
search,6,1.1573,58.53,1.1529,59.75
search,7,1.0277,63.58,1.0880,61.79
search,8,0.9316,67.15,1.0312,65.38
search,9,0.8504,69.89,1.2398,61.06
search,10,0.7827,72.51,0.9518,67.52
finetune,1,1.0416,63.40,1.0311,64.86
finetune,2,0.8129,71.67,1.0866,64.48
finetune,3,0.7281,74.52,0.7401,75.19
finetune,4,0.6769,76.47,0.8116,71.94
finetune,5,0.6453,77.72,0.7688,74.06
finetune,6,0.6130,78.64,0.7626,75.14
finetune,7,0.5900,79.44,0.6985,76.73
finetune,8,0.5630,80.55,0.6667,77.39
finetune,9,0.5448,81.12,0.6279,78.98
finetune,10,0.5305,81.59,0.6706,77.74
finetune,11,0.5162,81.98,0.6741,77.70
finetune,12,0.4968,82.79,0.7259,75.97
finetune,13,0.4915,82.95,0.6606,78.03
finetune,14,0.4776,83.26,0.6434,79.55
finetune,15,0.4600,83.94,0.6256,78.99
finetune,16,0.4573,83.98,0.6413,78.89
finetune,17,0.4475,84.42,0.6067,79.96
finetune,18,0.4406,84.67,0.5260,82.46
finetune,19,0.4297,84.99,0.6115,80.34
finetune,20,0.4267,84.95,0.6472,78.43
finetune,21,0.4267,85.09,0.5739,81.04
finetune,22,0.4139,85.72,0.4816,83.76
finetune,23,0.4062,85.96,0.5321,82.71
finetune,24,0.4038,85.95,0.5800,80.55
finetune,25,0.3928,86.31,0.5211,82.81
finetune,26,0.3828,86.69,0.6081,79.51
finetune,27,0.3818,86.44,0.5618,81.44
finetune,28,0.3757,86.77,0.4815,84.07
finetune,29,0.3734,87.03,0.5255,82.25
finetune,30,0.3744,86.75,0.4982,83.64
finetune,31,0.3707,86.94,0.5671,81.62
finetune,32,0.3599,87.34,0.5688,81.47
finetune,33,0.3582,87.52,0.5340,82.95
finetune,34,0.3529,87.72,0.6141,80.62
finetune,35,0.3502,87.83,0.5707,81.24
finetune,36,0.3473,87.77,0.5808,82.09
finetune,37,0.3461,87.76,0.6295,80.40
finetune,38,0.3409,88.21,0.5285,83.44
finetune,39,0.3339,88.28,0.4804,84.31
finetune,40,0.3356,88.23,0.4563,84.81
finetune,41,0.3233,88.62,0.5106,83.26
finetune,42,0.3302,88.47,0.4913,84.10
finetune,43,0.3295,88.42,0.4813,83.91
finetune,44,0.3244,88.60,0.5077,83.89
finetune,45,0.3203,88.81,0.4979,83.98
finetune,46,0.3178,89.03,0.5136,83.35
finetune,47,0.3165,88.97,0.4962,84.14
finetune,48,0.3043,89.30,0.6114,81.79
finetune,49,0.3103,89.12,0.5595,82.97
finetune,50,0.3130,88.98,0.5413,82.63
finetune,51,0.3111,88.96,0.4719,85.21
finetune,52,0.3100,89.11,0.5562,82.87
finetune,53,0.2998,89.51,0.4918,84.18
finetune,54,0.2966,89.68,0.5064,84.63
finetune,55,0.3005,89.52,0.5294,82.86
finetune,56,0.2931,89.76,0.4538,84.94
finetune,57,0.2912,89.68,0.5517,82.91
finetune,58,0.2990,89.58,0.5092,83.96
finetune,59,0.2928,89.69,0.5422,82.97
finetune,60,0.2884,89.90,0.5310,83.09
finetune,61,0.2888,89.85,0.4591,85.46
finetune,62,0.2830,90.00,0.6200,81.98
finetune,63,0.2827,90.06,0.5306,83.28
finetune,64,0.2819,90.18,0.5068,84.00
finetune,65,0.2758,90.38,0.4270,86.21
finetune,66,0.2832,90.05,0.4642,85.27
finetune,67,0.2861,89.98,0.4742,84.77
finetune,68,0.2798,90.03,0.4883,84.41
finetune,69,0.2788,90.14,0.4598,85.10
finetune,70,0.2736,90.39,0.6337,80.96
