epoch,train_loss,train_acc,test_loss,test_acc
1,1.9205,30.51,1.6447,39.41
2,1.5109,44.19,1.5225,45.94
3,1.2803,53.49,1.3228,52.73
4,1.0895,61.04,1.2959,58.11
5,0.9507,66.40,1.0384,63.64
6,0.8436,70.33,0.8545,70.85
7,0.7598,73.53,0.8244,71.36
8,0.6985,75.68,0.7286,74.90
9,0.6514,77.28,0.8020,72.97
10,0.6189,78.48,0.7098,76.56
11,0.5864,79.63,0.7552,74.56
12,0.5670,80.38,0.6777,77.00
13,0.5419,81.10,0.6016,80.04
14,0.5257,81.80,0.6902,76.75
15,0.5038,82.60,0.5772,80.62
16,0.4801,83.38,0.5365,81.96
17,0.4727,83.58,0.6881,77.50
18,0.4655,83.65,0.6345,79.47
19,0.4449,84.60,0.6018,79.78
20,0.4383,84.88,0.6196,79.77
21,0.4301,85.31,0.5040,82.60
22,0.4241,85.36,0.5821,80.87
23,0.4122,85.71,0.5340,82.81
24,0.3995,86.25,0.5722,81.77
25,0.3986,86.17,0.5308,82.60
26,0.3897,86.45,0.5877,81.15
27,0.3865,86.51,0.6035,80.17
28,0.3753,86.90,0.5093,83.01
29,0.3670,87.23,0.5124,83.02
30,0.3689,87.18,0.5955,80.67
31,0.3637,87.23,0.6156,80.91
32,0.3615,87.38,0.5031,84.03
33,0.3521,87.63,0.5025,83.47
34,0.3477,87.86,0.5639,82.66
35,0.3364,88.26,0.5381,82.45
36,0.3401,88.14,0.4910,84.18
37,0.3334,88.37,0.5001,84.36
38,0.3336,88.28,0.5100,83.54
39,0.3318,88.50,0.5129,83.74
40,0.3218,88.68,0.4827,84.36
41,0.3284,88.70,0.6663,80.14
42,0.3190,88.80,0.5809,82.00
43,0.3195,88.97,0.6561,80.09
44,0.3119,89.04,0.4833,84.95
45,0.3130,89.24,0.5815,81.43
46,0.3085,89.15,0.5947,82.17
47,0.3074,89.18,0.4874,84.38
48,0.3024,89.42,0.5238,83.36
49,0.3025,89.35,0.6026,81.28
50,0.2966,89.58,0.5534,83.08
51,0.2961,89.56,0.4637,85.09
52,0.2936,89.70,0.4642,85.46
53,0.2946,89.62,0.5580,82.79
54,0.2887,89.81,0.5151,84.07
55,0.2850,89.98,0.5524,82.81
56,0.2889,89.86,0.4723,84.97
57,0.2835,90.27,0.6114,82.24
58,0.2883,89.91,0.4964,84.42
59,0.2854,89.89,0.6677,80.67
60,0.2834,90.12,0.4849,84.46
61,0.2828,90.20,0.4778,84.77
62,0.2744,90.42,0.4886,84.39
63,0.2797,90.20,0.5506,83.41
64,0.2800,90.22,0.5972,82.31
65,0.2690,90.50,0.4851,84.74
66,0.2732,90.42,0.6322,81.13
67,0.2767,90.42,0.4990,83.43
68,0.2688,90.62,0.5000,84.56
69,0.2735,90.61,0.4795,83.91
70,0.2711,90.42,0.4998,84.31
71,0.2688,90.58,0.7436,78.62
72,0.2631,90.85,0.4767,84.74
73,0.2629,90.73,0.4595,85.13
74,0.2580,90.98,0.4228,86.25
75,0.2595,90.90,0.6337,82.52
76,0.2625,90.85,0.5484,83.48
77,0.2628,90.76,0.5006,84.93
78,0.2576,90.87,0.4520,85.82
79,0.2555,90.89,0.5573,83.23
80,0.2593,90.96,0.5026,84.44
81,0.1705,94.20,0.3177,89.75
82,0.1413,95.24,0.3151,90.06
83,0.1289,95.71,0.3202,89.98
84,0.1247,95.84,0.3188,89.98
85,0.1162,96.15,0.3185,90.25
86,0.1110,96.24,0.3213,89.98
87,0.1074,96.41,0.3216,90.14
88,0.1048,96.48,0.3285,90.18
89,0.1023,96.54,0.3300,90.48
90,0.0983,96.71,0.3277,90.10
91,0.0939,96.80,0.3349,90.31
92,0.0925,96.83,0.3380,90.46
93,0.0935,96.82,0.3388,90.20
94,0.0932,96.74,0.3352,90.38
95,0.0866,97.12,0.3376,90.09
96,0.0828,97.21,0.3436,90.18
97,0.0829,97.16,0.3504,90.31
98,0.0826,97.18,0.3449,90.17
99,0.0803,97.24,0.3520,90.01
100,0.0796,97.31,0.3580,89.94
101,0.0775,97.45,0.3583,90.25
102,0.0743,97.47,0.3659,89.88
103,0.0730,97.47,0.3639,90.12
104,0.0727,97.55,0.3646,90.16
105,0.0709,97.60,0.3694,90.19
106,0.0682,97.71,0.3720,90.01
107,0.0700,97.66,0.3728,90.11
108,0.0679,97.70,0.3780,90.08
109,0.0672,97.67,0.3810,90.03
110,0.0659,97.79,0.3790,89.94
111,0.0642,97.78,0.3801,89.94
112,0.0649,97.82,0.3890,89.94
113,0.0626,97.80,0.3826,90.07
114,0.0627,97.88,0.3803,90.13
115,0.0623,97.88,0.4045,89.73
116,0.0591,98.01,0.3880,90.00
117,0.0596,97.94,0.3881,90.08
118,0.0579,98.05,0.3956,90.13
119,0.0604,97.93,0.3896,90.20
120,0.0559,98.14,0.3910,89.94
121,0.0503,98.33,0.3816,90.30
122,0.0479,98.47,0.3828,90.48
123,0.0461,98.50,0.3851,90.42
124,0.0455,98.59,0.3830,90.45
125,0.0453,98.56,0.3830,90.51
126,0.0471,98.49,0.3835,90.50
127,0.0451,98.57,0.3843,90.52
128,0.0425,98.66,0.3851,90.54
129,0.0426,98.62,0.3881,90.42
130,0.0421,98.63,0.3856,90.48
131,0.0421,98.68,0.3892,90.46
132,0.0422,98.68,0.3862,90.53
133,0.0424,98.60,0.3887,90.48
134,0.0419,98.70,0.3887,90.44
135,0.0437,98.60,0.3888,90.46
136,0.0413,98.70,0.3883,90.40
137,0.0411,98.71,0.3888,90.41
138,0.0399,98.78,0.3887,90.46
139,0.0404,98.73,0.3899,90.33
140,0.0401,98.75,0.3886,90.54
141,0.0409,98.78,0.3912,90.39
142,0.0403,98.74,0.3877,90.45
143,0.0397,98.77,0.3901,90.39
144,0.0395,98.72,0.3908,90.43
145,0.0398,98.81,0.3874,90.36
146,0.0411,98.66,0.3908,90.51
147,0.0398,98.77,0.3907,90.51
148,0.0410,98.73,0.3904,90.41
149,0.0403,98.73,0.3876,90.50
150,0.0399,98.79,0.3911,90.49
151,0.0395,98.78,0.3898,90.46
152,0.0390,98.84,0.3943,90.36
153,0.0385,98.84,0.3933,90.43
154,0.0394,98.75,0.3949,90.39
155,0.0386,98.83,0.3945,90.31
156,0.0384,98.82,0.3955,90.33
157,0.0371,98.79,0.3966,90.20
158,0.0371,98.83,0.3962,90.26
159,0.0374,98.88,0.3956,90.49
160,0.0370,98.84,0.4000,90.36
