phase,epoch,train_loss,train_acc,test_loss,test_acc
one-shot,1,0.9328,75.70,1.2826,65.00
one-shot,2,0.6890,79.04,1.2693,65.58
one-shot,3,0.6327,80.19,1.2503,66.32
one-shot,4,0.5982,81.10,1.2439,66.59
one-shot,5,0.5762,81.43,1.2535,66.25
one-shot,6,0.5593,81.96,1.2413,66.42
one-shot,7,0.5502,81.81,1.2493,66.43
one-shot,8,0.5406,82.22,1.2548,66.44
one-shot,9,0.5325,82.32,1.2455,66.76
one-shot,10,0.5234,82.53,1.2469,66.38
one-shot,11,0.5179,82.46,1.2429,66.65
one-shot,12,0.5153,82.70,1.2278,66.95
one-shot,13,0.5123,82.81,1.2329,66.97
one-shot,14,0.5063,82.91,1.2282,66.98
one-shot,15,0.5052,82.72,1.2298,66.98
one-shot,16,0.4999,82.82,1.2229,66.97
one-shot,17,0.4997,83.06,1.2371,66.60
one-shot,18,0.4978,83.12,1.2363,66.49
one-shot,19,0.4930,83.12,1.2355,67.17
one-shot,20,0.4932,83.14,1.2273,67.19
one-shot,21,0.4894,83.26,1.2301,67.14
one-shot,22,0.4897,83.16,1.2364,67.06
one-shot,23,0.4879,83.36,1.2279,66.92
one-shot,24,0.4870,83.25,1.2332,66.96
one-shot,25,0.4842,83.38,1.2303,67.03
one-shot,26,0.4840,83.27,1.2285,67.12
one-shot,27,0.4842,83.49,1.2343,67.05
one-shot,28,0.4812,83.39,1.2256,67.12
one-shot,29,0.4805,83.44,1.2281,66.95
one-shot,30,0.4824,83.33,1.2211,67.08
one-shot,31,0.4803,83.65,1.2284,67.20
one-shot,32,0.4794,83.49,1.2276,66.83
one-shot,33,0.4774,83.69,1.2339,67.07
one-shot,34,0.4802,83.48,1.2226,67.28
one-shot,35,0.4758,83.61,1.2310,67.02
one-shot,36,0.4772,83.39,1.2291,67.16
one-shot,37,0.4759,83.74,1.2208,67.17
one-shot,38,0.4746,83.50,1.2346,66.88
one-shot,39,0.4747,83.63,1.2295,66.99
one-shot,40,0.4761,83.60,1.2380,66.91
one-shot,41,0.4747,83.66,1.2374,66.86
one-shot,42,0.4726,83.48,1.2270,66.96
one-shot,43,0.4743,83.73,1.2395,66.51
one-shot,44,0.4712,83.81,1.2223,67.17
one-shot,45,0.4733,83.78,1.2311,66.89
one-shot,46,0.4734,83.68,1.2329,66.89
one-shot,47,0.4694,83.68,1.2351,66.69
one-shot,48,0.4698,83.70,1.2283,66.98
one-shot,49,0.4709,83.52,1.2435,66.69
one-shot,50,0.4756,83.42,1.2271,67.02
one-shot,51,0.4700,83.80,1.2286,66.65
one-shot,52,0.4726,83.63,1.2292,67.19
one-shot,53,0.4681,83.80,1.2286,67.00
one-shot,54,0.4710,83.57,1.2384,66.60
one-shot,55,0.4706,83.77,1.2388,66.80
one-shot,56,0.4680,83.99,1.2358,66.76
one-shot,57,0.4687,83.94,1.2228,67.11
one-shot,58,0.4662,83.98,1.2169,67.22
one-shot,59,0.4677,83.92,1.2363,66.95
one-shot,60,0.4663,83.82,1.2324,67.00
one-shot,61,0.4694,83.66,1.2245,67.02
one-shot,62,0.4649,83.83,1.2333,66.87
one-shot,63,0.4651,84.03,1.2286,67.12
one-shot,64,0.4678,83.68,1.2288,67.25
one-shot,65,0.4652,83.88,1.2260,66.92
one-shot,66,0.4640,83.96,1.2314,66.81
one-shot,67,0.4647,83.94,1.2346,66.88
one-shot,68,0.4641,84.01,1.2290,66.77
one-shot,69,0.4633,84.08,1.2361,66.74
one-shot,70,0.4664,83.90,1.2346,66.60
one-shot,71,0.4658,83.98,1.2264,67.14
one-shot,72,0.4631,84.18,1.2281,67.20
one-shot,73,0.4659,83.90,1.2157,67.03
one-shot,74,0.4626,84.05,1.2216,67.09
one-shot,75,0.4636,83.95,1.2233,67.19
one-shot,76,0.4612,84.15,1.2313,66.90
one-shot,77,0.4623,84.12,1.2242,67.18
one-shot,78,0.4648,83.97,1.2274,66.90
one-shot,79,0.4632,83.95,1.2251,66.86
one-shot,80,0.4641,84.04,1.2316,67.00
one-shot,81,0.4669,83.86,1.2233,67.15
one-shot,82,0.4623,83.99,1.2237,67.36
one-shot,83,0.4632,83.95,1.2303,66.95
one-shot,84,0.4612,83.94,1.2230,67.28
one-shot,85,0.4618,84.04,1.2274,67.01
one-shot,86,0.4625,84.12,1.2290,66.95
one-shot,87,0.4609,84.19,1.2307,66.97
one-shot,88,0.4594,84.12,1.2256,67.17
one-shot,89,0.4591,84.09,1.2272,67.07
one-shot,90,0.4577,84.25,1.2291,67.04
one-shot,91,0.4595,84.17,1.2166,67.34
one-shot,92,0.4567,84.27,1.2262,67.09
one-shot,93,0.4597,84.05,1.2313,66.92
one-shot,94,0.4578,84.20,1.2225,67.09
one-shot,95,0.4555,84.39,1.2360,66.74
one-shot,96,0.4576,84.37,1.2327,66.95
one-shot,97,0.4563,84.24,1.2213,67.39
one-shot,98,0.4555,84.08,1.2297,66.87
one-shot,99,0.4576,84.33,1.2284,66.99
one-shot,100,0.4573,84.17,1.2358,67.17
one-shot,101,0.4546,84.43,1.2197,67.47
one-shot,102,0.4545,84.36,1.2253,66.87
one-shot,103,0.4555,84.09,1.2258,66.89
one-shot,104,0.4541,84.25,1.2201,67.29
one-shot,105,0.4537,84.39,1.2267,67.27
one-shot,106,0.4553,84.18,1.2207,67.34
one-shot,107,0.4541,84.34,1.2153,67.41
one-shot,108,0.4555,84.10,1.2247,67.23
one-shot,109,0.4536,84.43,1.2128,67.40
one-shot,110,0.4553,84.15,1.2208,67.43
one-shot,111,0.4504,84.36,1.2162,67.07
one-shot,112,0.4519,84.34,1.2204,67.18
one-shot,113,0.4533,84.34,1.2164,67.11
one-shot,114,0.4514,84.58,1.2191,67.18
one-shot,115,0.4528,84.26,1.2246,67.18
one-shot,116,0.4554,84.25,1.2159,66.99
one-shot,117,0.4497,84.45,1.2195,67.26
one-shot,118,0.4502,84.45,1.2159,67.17
one-shot,119,0.4475,84.51,1.2164,67.18
one-shot,120,0.4499,84.30,1.2149,67.13
one-shot,121,0.4498,84.68,1.2164,67.25
one-shot,122,0.4493,84.39,1.2284,67.33
one-shot,123,0.4502,84.50,1.2161,67.38
one-shot,124,0.4516,84.41,1.2100,67.27
one-shot,125,0.4500,84.28,1.2173,67.35
one-shot,126,0.4477,84.57,1.2186,67.23
one-shot,127,0.4495,84.49,1.2175,67.07
one-shot,128,0.4479,84.43,1.2172,67.19
one-shot,129,0.4473,84.56,1.2176,67.15
one-shot,130,0.4469,84.58,1.2132,67.35
one-shot,131,0.4460,84.58,1.2247,67.29
one-shot,132,0.4468,84.50,1.2190,67.23
one-shot,133,0.4455,84.57,1.2148,67.23
one-shot,134,0.4463,84.50,1.2099,67.17
one-shot,135,0.4465,84.50,1.2146,67.34
one-shot,136,0.4459,84.66,1.2197,67.30
one-shot,137,0.4428,84.71,1.2209,67.22
one-shot,138,0.4440,84.56,1.2174,67.13
one-shot,139,0.4433,84.78,1.2133,67.30
one-shot,140,0.4453,84.50,1.2181,67.28
one-shot,141,0.4436,84.60,1.2159,67.30
one-shot,142,0.4439,84.70,1.2100,67.34
one-shot,143,0.4430,84.68,1.2142,67.16
one-shot,144,0.4419,84.69,1.2116,67.47
one-shot,145,0.4409,84.64,1.2105,67.60
one-shot,146,0.4424,84.67,1.2126,67.56
one-shot,147,0.4433,84.54,1.2137,67.42
one-shot,148,0.4417,84.53,1.2189,67.27
one-shot,149,0.4411,84.87,1.2135,67.27
one-shot,150,0.4401,84.62,1.2101,67.66
one-shot,151,0.4397,84.72,1.2096,67.31
one-shot,152,0.4398,84.75,1.2142,67.30
one-shot,153,0.4392,84.74,1.2156,67.29
one-shot,154,0.4417,84.50,1.2156,67.41
one-shot,155,0.4370,85.12,1.2130,67.36
one-shot,156,0.4406,84.63,1.2100,67.46
one-shot,157,0.4422,84.53,1.2129,67.34
one-shot,158,0.4396,84.85,1.2156,67.46
one-shot,159,0.4391,84.81,1.2150,67.29
one-shot,160,0.4384,84.78,1.2127,67.29
one-shot,161,0.4381,84.76,1.2154,67.44
one-shot,162,0.4371,84.84,1.2113,67.52
one-shot,163,0.4384,84.70,1.2134,67.49
one-shot,164,0.4381,84.90,1.2121,67.42
one-shot,165,0.4389,84.58,1.2137,67.40
one-shot,166,0.4362,84.95,1.2136,67.42
one-shot,167,0.4356,84.76,1.2103,67.46
one-shot,168,0.4388,84.74,1.2108,67.38
one-shot,169,0.4348,85.06,1.2164,67.31
one-shot,170,0.4356,84.92,1.2135,67.36
one-shot,171,0.4381,84.73,1.2116,67.42
one-shot,172,0.4367,84.74,1.2131,67.39
one-shot,173,0.4333,85.20,1.2132,67.24
one-shot,174,0.4377,84.81,1.2135,67.39
one-shot,175,0.4352,84.92,1.2122,67.43
one-shot,176,0.4383,84.69,1.2138,67.38
one-shot,177,0.4349,84.87,1.2156,67.32
one-shot,178,0.4356,84.98,1.2138,67.43
one-shot,179,0.4342,84.90,1.2154,67.43
one-shot,180,0.4326,84.88,1.2118,67.22
one-shot,181,0.4349,84.81,1.2124,67.42
one-shot,182,0.4329,85.06,1.2126,67.40
one-shot,183,0.4361,84.81,1.2120,67.40
one-shot,184,0.4325,84.92,1.2148,67.38
one-shot,185,0.4349,84.78,1.2118,67.39
one-shot,186,0.4338,84.95,1.2136,67.46
one-shot,187,0.4343,84.99,1.2133,67.30
one-shot,188,0.4351,84.78,1.2122,67.43
one-shot,189,0.4353,84.89,1.2153,67.35
one-shot,190,0.4328,84.96,1.2124,67.30
one-shot,191,0.4340,84.84,1.2128,67.36
one-shot,192,0.4333,85.09,1.2148,67.30
one-shot,193,0.4332,84.93,1.2137,67.49
one-shot,194,0.4342,84.84,1.2141,67.33
one-shot,195,0.4334,84.94,1.2152,67.51
one-shot,196,0.4329,84.77,1.2129,67.49
one-shot,197,0.4341,85.03,1.2147,67.30
one-shot,198,0.4328,84.99,1.2149,67.41
one-shot,199,0.4351,84.70,1.2140,67.42
one-shot,200,0.4347,84.88,1.2145,67.29
iter-1,1,0.6223,81.37,1.2495,66.54
iter-1,2,0.6018,82.07,1.2500,66.67
iter-1,3,0.6023,81.99,1.2469,66.39
iter-1,4,0.6156,81.58,1.2831,65.90
iter-1,5,0.6246,81.34,1.3727,64.19
iter-1,6,0.6270,81.14,1.3209,64.82
iter-1,7,0.6221,81.25,1.3119,65.19
iter-1,8,0.6196,81.62,1.3648,64.07
iter-1,9,0.6247,81.18,1.3205,65.04
iter-1,10,0.6173,81.47,1.3204,65.07
iter-2,1,0.8224,74.88,1.3390,63.73
iter-2,2,0.7548,77.17,1.3770,63.09
iter-2,3,0.7359,77.80,1.3301,64.07
iter-2,4,0.7201,78.17,1.3842,63.50
iter-2,5,0.7128,78.53,1.3506,63.97
iter-2,6,0.7057,78.92,1.3386,64.40
iter-2,7,0.7014,78.89,1.3185,64.60
iter-2,8,0.7016,78.84,1.3294,64.17
iter-2,9,0.6923,79.28,1.3225,64.53
iter-2,10,0.6943,79.11,1.3260,64.58
iter-3,1,0.9406,71.68,1.3978,62.29
iter-3,2,0.8462,74.64,1.3935,62.42
iter-3,3,0.8169,75.57,1.3508,63.20
iter-3,4,0.8071,75.79,1.4070,62.50
iter-3,5,0.7920,76.10,1.3558,63.23
iter-3,6,0.7872,76.23,1.3503,63.79
iter-3,7,0.7839,76.37,1.3539,63.50
iter-3,8,0.7805,76.57,1.3636,62.88
iter-3,9,0.7752,76.65,1.4306,62.26
iter-3,10,0.7699,76.97,1.3555,63.78
iter-4,1,1.0634,68.66,1.4506,61.00
iter-4,2,0.9466,71.81,1.4331,61.36
iter-4,3,0.9145,72.82,1.3963,62.10
iter-4,4,0.9054,72.90,1.3966,62.31
iter-4,5,0.8977,73.30,1.3741,62.41
iter-4,6,0.8881,73.49,1.3722,62.85
iter-4,7,0.8838,73.72,1.3952,62.01
iter-4,8,0.8778,73.81,1.3898,61.74
iter-4,9,0.8778,73.63,1.3408,63.46
