phase,epoch,train_loss,train_acc,test_loss,test_acc
one-shot,1,0.5928,82.35,1.2452,66.98
one-shot,2,0.5675,83.26,1.2302,67.10
one-shot,3,0.5585,83.56,1.2345,67.15
one-shot,4,0.5458,84.09,1.2289,67.21
one-shot,5,0.5494,83.81,1.2276,67.24
one-shot,6,0.5445,84.15,1.2269,67.38
one-shot,7,0.5483,83.90,1.2308,67.05
one-shot,8,0.5397,84.15,1.2285,67.16
one-shot,9,0.5352,84.38,1.2398,67.45
one-shot,10,0.5324,84.46,1.2309,67.53
one-shot,11,0.5371,84.14,1.2353,67.01
one-shot,12,0.5312,84.47,1.2373,67.14
one-shot,13,0.5345,84.34,1.2377,67.15
one-shot,14,0.5270,84.60,1.2326,67.35
one-shot,15,0.5224,84.59,1.2419,67.15
one-shot,16,0.5239,84.67,1.2447,67.17
one-shot,17,0.5242,84.63,1.2347,67.31
one-shot,18,0.5175,84.80,1.2393,67.33
one-shot,19,0.5236,84.72,1.2319,67.67
one-shot,20,0.5203,84.79,1.2346,67.29
one-shot,21,0.5140,84.83,1.2339,67.21
one-shot,22,0.5172,84.82,1.2327,67.27
one-shot,23,0.5159,85.09,1.2479,67.21
one-shot,24,0.5148,84.99,1.2515,66.89
one-shot,25,0.5132,84.87,1.2458,67.11
one-shot,26,0.5124,85.03,1.2448,67.16
one-shot,27,0.5152,84.79,1.2451,67.06
one-shot,28,0.5141,84.95,1.2346,67.21
one-shot,29,0.5086,85.21,1.2462,67.05
one-shot,30,0.5031,85.36,1.2368,67.01
one-shot,31,0.5083,85.19,1.2460,67.27
one-shot,32,0.5098,85.14,1.2467,66.80
one-shot,33,0.5033,85.15,1.2502,67.09
one-shot,34,0.5024,85.36,1.2503,67.19
one-shot,35,0.5052,85.06,1.2553,67.09
one-shot,36,0.5013,85.33,1.2460,67.26
one-shot,37,0.4990,85.34,1.2363,67.42
one-shot,38,0.5007,85.39,1.2515,66.97
one-shot,39,0.4960,85.56,1.2527,66.84
one-shot,40,0.4980,85.48,1.2511,66.94
one-shot,41,0.4965,85.42,1.2477,67.19
one-shot,42,0.4956,85.56,1.2619,66.51
one-shot,43,0.4940,85.57,1.2497,66.99
one-shot,44,0.4946,85.55,1.2661,67.28
one-shot,45,0.4956,85.32,1.2502,67.29
one-shot,46,0.4944,85.35,1.2518,66.97
one-shot,47,0.4909,85.57,1.2573,66.94
one-shot,48,0.4920,85.68,1.2536,67.32
one-shot,49,0.4888,85.62,1.2497,67.24
one-shot,50,0.4891,85.70,1.2545,66.79
one-shot,51,0.4865,85.75,1.2463,67.22
one-shot,52,0.4860,85.62,1.2523,67.31
one-shot,53,0.4942,85.52,1.2639,66.82
one-shot,54,0.4890,85.67,1.2555,67.03
one-shot,55,0.4839,85.91,1.2510,67.07
one-shot,56,0.4845,85.87,1.2542,67.14
one-shot,57,0.4828,85.78,1.2563,66.88
one-shot,58,0.4824,85.94,1.2597,66.76
one-shot,59,0.4830,85.84,1.2657,66.93
one-shot,60,0.4859,85.76,1.2560,67.08
one-shot,61,0.4835,85.95,1.2627,67.25
one-shot,62,0.4756,86.07,1.2561,67.17
one-shot,63,0.4812,85.96,1.2673,66.72
one-shot,64,0.4772,86.24,1.2610,67.12
one-shot,65,0.4757,86.11,1.2612,67.36
one-shot,66,0.4779,86.16,1.2629,66.93
one-shot,67,0.4754,85.97,1.2600,67.05
one-shot,68,0.4710,86.30,1.2687,66.91
one-shot,69,0.4766,85.90,1.2708,66.97
one-shot,70,0.4756,86.17,1.2595,67.07
one-shot,71,0.4726,86.26,1.2650,66.73
one-shot,72,0.4703,86.37,1.2669,66.86
one-shot,73,0.4696,86.21,1.2615,66.97
one-shot,74,0.4721,86.32,1.2749,66.63
one-shot,75,0.4694,86.36,1.2705,66.96
one-shot,76,0.4721,86.14,1.2625,66.87
one-shot,77,0.4689,86.40,1.2680,66.72
one-shot,78,0.4705,86.26,1.2584,66.91
one-shot,79,0.4669,86.34,1.2671,67.04
one-shot,80,0.4701,86.16,1.2622,66.84
one-shot,81,0.4687,86.32,1.2753,66.68
one-shot,82,0.4683,86.28,1.2674,66.74
one-shot,83,0.4639,86.51,1.2697,66.89
one-shot,84,0.4645,86.43,1.2719,67.02
one-shot,85,0.4598,86.61,1.2743,66.89
one-shot,86,0.4646,86.51,1.2735,66.87
one-shot,87,0.4658,86.39,1.2751,67.00
one-shot,88,0.4598,86.57,1.2727,66.55
one-shot,89,0.4618,86.45,1.2755,66.89
one-shot,90,0.4622,86.38,1.2672,67.06
one-shot,91,0.4584,86.74,1.2601,67.24
one-shot,92,0.4608,86.64,1.2714,66.97
one-shot,93,0.4583,86.60,1.2734,66.87
one-shot,94,0.4624,86.61,1.2824,66.81
one-shot,95,0.4540,86.87,1.2750,67.00
one-shot,96,0.4603,86.49,1.2797,67.04
one-shot,97,0.4545,86.79,1.2761,66.86
one-shot,98,0.4600,86.70,1.2726,66.97
one-shot,99,0.4589,86.61,1.2725,66.72
one-shot,100,0.4559,86.72,1.2761,66.94
one-shot,101,0.4533,86.75,1.2767,67.06
one-shot,102,0.4578,86.72,1.2775,67.03
one-shot,103,0.4529,86.89,1.2752,66.89
one-shot,104,0.4514,86.94,1.2707,66.98
one-shot,105,0.4525,86.80,1.2819,67.03
one-shot,106,0.4520,86.80,1.2787,66.94
one-shot,107,0.4538,86.80,1.2666,67.09
one-shot,108,0.4445,87.10,1.2771,67.02
one-shot,109,0.4513,86.72,1.2799,67.10
one-shot,110,0.4475,87.06,1.2761,67.12
one-shot,111,0.4522,86.81,1.2806,67.15
one-shot,112,0.4446,87.05,1.2780,67.06
one-shot,113,0.4466,86.94,1.2732,66.91
one-shot,114,0.4491,86.87,1.2825,66.98
one-shot,115,0.4475,87.03,1.2780,66.63
one-shot,116,0.4497,87.08,1.2805,66.94
one-shot,117,0.4438,87.08,1.2795,66.99
one-shot,118,0.4444,87.11,1.2729,66.95
one-shot,119,0.4419,87.25,1.2789,66.67
one-shot,120,0.4442,87.07,1.2733,67.03
one-shot,121,0.4425,87.28,1.2814,66.86
one-shot,122,0.4391,87.10,1.2808,66.91
one-shot,123,0.4406,87.01,1.2951,66.79
one-shot,124,0.4383,87.31,1.2770,66.93
one-shot,125,0.4412,87.08,1.2859,66.85
one-shot,126,0.4417,87.07,1.2758,66.94
one-shot,127,0.4452,87.14,1.2786,67.02
one-shot,128,0.4410,87.28,1.2760,66.98
one-shot,129,0.4414,87.09,1.2815,66.89
one-shot,130,0.4409,87.30,1.2797,67.01
one-shot,131,0.4366,87.34,1.2723,67.14
one-shot,132,0.4393,87.24,1.2783,66.67
one-shot,133,0.4377,87.23,1.2820,66.93
one-shot,134,0.4363,87.30,1.2811,66.92
one-shot,135,0.4352,87.53,1.2830,67.04
one-shot,136,0.4371,87.26,1.2831,66.95
one-shot,137,0.4369,87.26,1.2800,67.10
one-shot,138,0.4381,87.36,1.2785,66.87
one-shot,139,0.4342,87.41,1.2741,67.02
one-shot,140,0.4366,87.30,1.2799,66.95
one-shot,141,0.4347,87.50,1.2805,66.99
one-shot,142,0.4345,87.38,1.2808,67.10
one-shot,143,0.4345,87.32,1.2834,66.82
one-shot,144,0.4357,87.39,1.2760,67.14
one-shot,145,0.4311,87.47,1.2855,66.94
one-shot,146,0.4318,87.63,1.2846,66.96
one-shot,147,0.4349,87.35,1.2866,67.07
one-shot,148,0.4322,87.54,1.2823,66.92
one-shot,149,0.4343,87.42,1.2759,66.92
one-shot,150,0.4283,87.64,1.2791,67.13
one-shot,151,0.4306,87.53,1.2855,67.09
one-shot,152,0.4320,87.56,1.2832,66.94
one-shot,153,0.4318,87.57,1.2879,67.04
one-shot,154,0.4296,87.50,1.2858,66.82
one-shot,155,0.4309,87.52,1.2815,66.74
one-shot,156,0.4316,87.64,1.2752,67.00
one-shot,157,0.4309,87.42,1.2793,66.75
one-shot,158,0.4277,87.68,1.2854,66.95
one-shot,159,0.4270,87.67,1.2750,67.07
one-shot,160,0.4285,87.69,1.2784,66.96
one-shot,161,0.4304,87.35,1.2859,66.97
one-shot,162,0.4227,87.80,1.2821,66.97
one-shot,163,0.4259,87.83,1.2797,66.98
one-shot,164,0.4290,87.64,1.2865,67.03
one-shot,165,0.4278,87.61,1.2684,67.04
one-shot,166,0.4292,87.44,1.2875,66.94
one-shot,167,0.4291,87.54,1.2809,66.71
one-shot,168,0.4248,87.75,1.2767,67.16
one-shot,169,0.4313,87.47,1.2785,67.19
one-shot,170,0.4232,87.97,1.2831,66.81
one-shot,171,0.4267,87.66,1.2853,66.83
one-shot,172,0.4251,87.82,1.2835,66.90
one-shot,173,0.4264,87.71,1.2826,66.89
one-shot,174,0.4247,87.88,1.2722,67.10
one-shot,175,0.4299,87.54,1.2757,67.10
one-shot,176,0.4230,87.73,1.2771,66.94
one-shot,177,0.4249,87.68,1.2823,66.89
one-shot,178,0.4255,87.63,1.2885,67.10
one-shot,179,0.4238,87.74,1.2829,66.70
one-shot,180,0.4227,87.85,1.2830,67.00
one-shot,181,0.4254,87.81,1.2795,66.84
one-shot,182,0.4250,87.81,1.2911,67.09
one-shot,183,0.4271,87.66,1.2797,66.99
one-shot,184,0.4317,87.32,1.2877,66.87
one-shot,185,0.4283,87.60,1.2839,66.72
one-shot,186,0.4240,87.86,1.2796,67.16
one-shot,187,0.4241,87.61,1.2854,66.91
one-shot,188,0.4218,87.80,1.2810,67.15
one-shot,189,0.4253,87.81,1.2808,66.99
one-shot,190,0.4200,87.80,1.2802,67.16
one-shot,191,0.4230,87.78,1.2821,66.98
one-shot,192,0.4221,87.97,1.2951,66.98
one-shot,193,0.4251,87.73,1.2793,67.02
one-shot,194,0.4236,88.13,1.2879,66.80
one-shot,195,0.4205,87.96,1.2865,67.26
one-shot,196,0.4217,87.91,1.2747,66.94
one-shot,197,0.4253,87.79,1.2792,66.96
one-shot,198,0.4233,87.92,1.2786,67.02
one-shot,199,0.4198,88.08,1.2734,67.30
one-shot,200,0.4228,87.78,1.2782,67.03
iter-1,1,0.5594,83.26,1.2541,66.87
iter-1,2,0.5447,84.04,1.2483,66.77
iter-1,3,0.5428,84.10,1.2478,66.91
iter-1,4,0.5343,84.29,1.2464,67.15
iter-1,5,0.5276,84.57,1.2469,67.10
iter-1,6,0.5248,84.63,1.2464,66.97
iter-1,7,0.5221,84.56,1.2419,66.78
iter-1,8,0.5178,84.85,1.2526,66.68
iter-1,9,0.5197,84.74,1.2471,66.75
iter-1,10,0.5165,84.83,1.2460,66.84
iter-2,1,0.5852,82.48,1.2607,66.37
iter-2,2,0.5636,83.42,1.2564,66.74
iter-2,3,0.5537,83.59,1.2430,66.65
iter-2,4,0.5491,83.88,1.2478,66.54
iter-2,5,0.5475,83.99,1.2453,66.55
iter-2,6,0.5400,84.03,1.2502,66.46
iter-2,7,0.5427,84.04,1.2442,66.81
iter-2,8,0.5404,84.05,1.2578,66.74
iter-2,9,0.5347,84.31,1.2442,66.85
iter-2,10,0.5351,84.29,1.2552,66.57
iter-3,1,0.6099,81.69,1.2648,66.13
iter-3,2,0.5749,82.74,1.2428,66.53
iter-3,3,0.5685,82.94,1.2467,66.54
iter-3,4,0.5591,83.37,1.2496,66.53
iter-3,5,0.5626,83.21,1.2472,66.44
iter-3,6,0.5528,83.61,1.2471,66.42
iter-3,7,0.5558,83.51,1.2473,66.67
iter-3,8,0.5514,83.77,1.2489,66.54
iter-3,9,0.5428,83.84,1.2644,66.40
iter-3,10,0.5473,83.82,1.2500,66.30
iter-4,1,0.5868,82.53,1.2654,66.04
iter-4,2,0.5686,83.22,1.2576,66.02
iter-4,3,0.5673,83.14,1.2581,66.13
iter-4,4,0.5578,83.48,1.2469,66.05
iter-4,5,0.5558,83.61,1.2477,66.38
iter-4,6,0.5582,83.42,1.2536,65.99
