step,label,prune_ratio,sparsity_after_prune,finetune_epochs_run,finetune_max_epochs,finetune_patience,best_test_acc,final_test_acc
0,one-shot,0.6300,0.6300,200,200,200,90.68,90.68
1,iter-1,0.1000,0.6670,10,10,10,90.48,90.48
2,iter-2,0.1000,0.7003,10,10,10,90.17,90.17
3,iter-3,0.1000,0.7303,10,10,10,89.88,89.88
4,iter-4,0.1000,0.7573,10,10,10,89.87,89.87
5,iter-5,0.1000,0.7815,10,10,10,89.85,89.85
6,iter-6,0.1000,0.8034,10,10,10,89.74,89.74
7,iter-7,0.1000,0.8231,10,10,10,89.50,89.50
8,iter-8,0.1000,0.8408,10,10,10,89.48,89.48
9,iter-9,0.1000,0.8567,10,10,10,89.08,89.08
10,iter-10,0.1000,0.8710,10,10,10,88.87,88.87
11,iter-11,0.1000,0.8839,10,10,10,88.74,88.74
12,iter-12,0.1000,0.8955,10,10,10,88.71,88.71
13,iter-13,0.0431,0.9000,10,10,10,88.59,88.59
