iteration,epoch,sparsity,remaining_weights,train_loss,train_acc,test_loss,test_acc
0,1,0.0000,1.0000,1.6291,38.96,1.5265,47.32
0,2,0.0000,1.0000,1.1285,59.31,1.2259,56.99
0,3,0.0000,1.0000,0.9473,66.38,1.7551,53.21
0,4,0.0000,1.0000,0.8370,71.04,1.1174,63.22
0,5,0.0000,1.0000,0.7491,73.69,1.1224,63.66
0,6,0.0000,1.0000,0.7060,75.50,0.8749,71.04
0,7,0.0000,1.0000,0.6728,76.85,0.8146,73.60
0,8,0.0000,1.0000,0.6340,77.91,0.8234,72.65
0,9,0.0000,1.0000,0.6204,78.56,0.7590,73.17
0,10,0.0000,1.0000,0.5986,79.40,0.7922,74.07
0,11,0.0000,1.0000,0.5818,80.11,0.7192,76.46
0,12,0.0000,1.0000,0.5716,80.28,0.6661,77.65
0,13,0.0000,1.0000,0.5639,80.63,0.8203,72.59
0,14,0.0000,1.0000,0.5540,80.96,0.7519,75.93
0,15,0.0000,1.0000,0.5414,81.17,0.8201,71.44
0,16,0.0000,1.0000,0.5339,81.56,0.6547,78.26
0,17,0.0000,1.0000,0.5298,81.84,0.7397,75.38
0,18,0.0000,1.0000,0.5251,81.69,0.6539,77.71
0,19,0.0000,1.0000,0.5176,82.17,0.8692,72.08
0,20,0.0000,1.0000,0.5171,82.20,0.6264,78.54
0,21,0.0000,1.0000,0.5115,82.56,1.0665,69.50
0,22,0.0000,1.0000,0.5030,82.78,0.6253,79.65
0,23,0.0000,1.0000,0.5006,82.89,0.9661,73.27
0,24,0.0000,1.0000,0.4970,83.06,0.7700,75.36
0,25,0.0000,1.0000,0.4938,83.20,0.8318,74.47
0,26,0.0000,1.0000,0.4939,83.07,0.5966,80.23
0,27,0.0000,1.0000,0.4893,83.11,0.8965,70.38
0,28,0.0000,1.0000,0.4869,83.09,0.7873,75.18
0,29,0.0000,1.0000,0.4804,83.50,0.6369,79.99
0,30,0.0000,1.0000,0.4789,83.71,0.7301,75.87
0,31,0.0000,1.0000,0.4785,83.68,1.2807,67.97
0,32,0.0000,1.0000,0.4738,83.71,1.0044,71.51
0,33,0.0000,1.0000,0.4752,83.84,0.6889,76.65
0,34,0.0000,1.0000,0.4783,83.53,0.7256,75.83
0,35,0.0000,1.0000,0.4744,83.90,0.6309,78.23
0,36,0.0000,1.0000,0.4651,84.09,0.6737,77.74
0,37,0.0000,1.0000,0.4607,84.31,0.8155,75.40
0,38,0.0000,1.0000,0.4602,84.41,0.6101,80.11
0,39,0.0000,1.0000,0.4637,84.16,0.6468,78.03
0,40,0.0000,1.0000,0.4574,84.23,0.7860,72.44
0,41,0.0000,1.0000,0.4580,84.33,0.7890,75.19
0,42,0.0000,1.0000,0.4595,84.24,0.5731,80.22
