epoch,train_loss,train_acc,test_loss,test_acc
1,4.0712,7.16,3.7520,11.69
2,3.5126,15.62,3.3291,18.97
3,3.1323,22.11,3.0515,24.12
4,2.8362,27.38,3.1590,24.65
5,2.6191,31.84,2.9002,28.68
6,2.4586,34.94,2.9482,29.37
7,2.3177,38.01,2.4989,36.66
8,2.2095,40.46,2.3934,37.92
9,2.1212,42.51,2.4075,38.31
10,2.0579,43.86,2.3215,40.24
11,1.9979,45.55,2.1087,43.52
12,1.9285,47.07,2.3965,39.93
13,1.8894,47.90,2.0358,45.84
14,1.8455,48.87,2.4818,39.88
15,1.8125,49.72,2.1062,44.35
16,1.7770,50.59,1.9347,47.44
17,1.7529,51.06,2.1339,44.77
18,1.7248,52.08,1.9171,48.37
19,1.6955,52.54,2.1474,45.54
20,1.6812,52.89,2.0091,46.71
21,1.6601,53.66,1.9645,48.39
22,1.6368,53.87,1.9011,49.67
23,1.6261,54.29,1.9188,49.26
24,1.6127,54.87,2.0257,46.92
25,1.5935,54.94,2.0371,47.58
26,1.5816,55.52,1.8770,49.93
27,1.5665,55.94,2.0107,47.44
28,1.5563,56.13,1.8855,49.63
29,1.5479,55.99,2.0054,48.35
30,1.5275,56.45,1.9734,48.77
31,1.5135,56.85,2.0620,46.48
32,1.5116,57.00,1.9422,50.82
33,1.5021,57.54,2.0296,47.88
34,1.4902,57.62,1.8974,50.20
35,1.4816,57.90,1.8146,50.61
36,1.4798,57.80,1.8579,50.51
37,1.4607,58.32,1.9273,49.17
38,1.4649,58.15,2.0650,46.00
39,1.4474,58.71,2.0034,48.96
40,1.4551,58.44,2.0300,48.39
41,1.4356,58.78,1.9494,49.68
42,1.4299,59.20,1.9751,49.88
43,1.4288,59.15,1.9266,49.14
44,1.4241,59.47,1.8568,50.96
45,1.4166,59.29,1.8045,51.85
46,1.4136,59.42,1.8689,51.57
47,1.4067,59.65,1.9667,49.18
48,1.4003,59.90,1.7948,52.66
49,1.4063,59.58,1.9882,50.18
50,1.3923,60.08,1.7806,52.35
51,1.3911,60.00,1.9229,50.28
52,1.3831,60.18,1.8409,51.69
53,1.3759,60.18,2.0059,48.76
54,1.3717,60.28,1.9695,50.07
55,1.3686,60.49,1.9080,50.59
56,1.3621,60.63,1.9672,49.12
57,1.3584,60.84,1.6987,54.20
58,1.3653,60.47,1.9347,50.26
59,1.3517,60.76,1.8748,51.90
60,1.3562,60.70,1.9829,50.30
61,1.3576,60.84,1.7575,53.30
62,1.3444,61.23,1.8135,52.65
63,1.3411,61.38,1.9034,50.93
64,1.3387,61.18,1.8659,52.31
65,1.3458,61.19,1.8416,51.02
66,1.3310,61.48,1.7778,53.77
67,1.3354,61.50,1.8750,50.72
68,1.3214,61.84,1.8776,50.60
69,1.3226,61.90,1.6734,54.63
70,1.3247,61.68,2.0471,48.37
71,1.3282,61.82,1.9267,51.29
72,1.3183,61.74,1.8549,51.37
73,1.3148,62.16,1.9745,50.93
74,1.3103,62.23,1.7415,53.41
75,1.3169,61.76,1.8384,51.65
76,1.3069,62.26,1.8271,52.74
77,1.3158,61.88,1.8572,51.65
78,1.3123,62.16,1.7028,54.55
79,1.3051,62.31,1.7714,52.97
80,1.3095,61.99,1.6653,55.19
81,1.0687,68.87,1.3726,61.96
82,1.0067,70.54,1.3586,62.53
83,0.9798,71.20,1.3561,62.52
84,0.9743,71.50,1.3475,63.02
85,0.9551,71.84,1.3690,62.58
86,0.9517,72.18,1.3585,62.59
87,0.9401,72.42,1.3689,62.63
88,0.9327,72.38,1.3674,62.49
89,0.9184,72.62,1.3576,62.96
90,0.9250,72.50,1.3618,62.99
91,0.9160,72.79,1.3616,62.60
92,0.9104,72.87,1.3675,62.74
93,0.9076,73.16,1.3751,62.59
94,0.9006,73.23,1.3699,62.43
95,0.9021,73.24,1.3929,62.25
96,0.8940,73.24,1.3861,62.64
97,0.8967,73.32,1.3769,62.52
98,0.8890,73.53,1.3907,62.46
99,0.8859,73.56,1.3987,62.53
100,0.8816,73.58,1.3886,62.90
101,0.8815,73.91,1.4064,62.43
102,0.8768,74.10,1.4015,62.42
103,0.8760,73.72,1.4022,62.80
104,0.8750,73.89,1.4075,62.06
105,0.8694,74.16,1.4062,62.67
106,0.8708,73.89,1.4046,62.26
107,0.8696,74.09,1.3954,62.82
108,0.8653,74.18,1.3965,62.50
109,0.8603,74.14,1.3886,62.79
110,0.8581,74.22,1.4134,62.40
111,0.8606,74.07,1.4313,62.16
112,0.8551,74.25,1.4139,62.10
113,0.8576,74.22,1.4216,62.17
114,0.8572,74.14,1.4203,61.77
115,0.8567,74.24,1.4158,62.33
116,0.8566,74.30,1.4131,62.32
117,0.8539,74.22,1.4200,62.10
118,0.8407,74.63,1.4338,62.13
119,0.8450,74.50,1.4252,62.21
120,0.8398,74.76,1.4119,62.57
121,0.7975,76.12,1.3823,63.00
122,0.7968,76.01,1.3805,63.15
123,0.7905,76.30,1.3865,63.26
124,0.7889,76.34,1.3816,63.43
125,0.7821,76.57,1.3870,63.29
